Category Code;Category Title;Template;Order Rules;Low Score;High Score;Subject;Rating;Icon;Title Icon;Sequel;Course
289;Division 2;R3;;3.54;2.51;N;2020;Division;Division;2;en_num
290;Six Times Tables - Turned Around;P8;;3.76;2.73;N;2030;6x;Six Times Tables;0;en_num
291;Eight Times Tables;R3;;3.54;2.51;N;2040;8x;Eight Times Tables;0;en_num
292;Divide by Six;R3;;3.54;2.51;N;2050;Division by;Divide by Six;0;en_num
293;Nine Times Tables Introduction;R3;12;4.3;3.01;N;2060;Multiplication;Nine Times Tables;0;en_num
294;Arithmetic 2;R3;;4.3;3.01;N;2070;Mixed Mentals;Arithmetic;2;en_num
295;Eight Times Tables - Missing;R3;;4.3;3.01;N;2080;8x;Eight Times Tables;0;en_num
296;Eight Times Tables - Turned Around;P8;;3.76;2.73;N;2090;8x;Eight Times Tables ;0;en_num
297;Nine Times Tables;R3;;3.54;2.51;N;2100;Multiplication;Nine Times Tables;0;en_num
298;Nine Times Tables - Missing;R3;;4.3;3.01;N;2110;Multiplication;Nine Times Tables;0;en_num
299;Divide by Eight;R3;;3.54;2.51;N;2120;Division by;Divide by Eight;0;en_num
300;Arithmetic 3;R3;;4.3;3.01;N;2130;Mixed Mentals;Arithmetic;3;en_num
301;Nine Times Tables - Turned Around;P8;;3.76;2.73;N;2140;Multiplication;Nine Times Tables;0;en_num
302;Times Tables 3;R3;;3.54;2.51;N;2150;Times Tables;Times Tables;3;en_num
303;Divide by Nine;R3;;3.54;2.51;N;2160;Division by;Divide by Nine;0;en_num
304;Twelve Times Tables Introduction;R3;12;4.3;3.01;N;2170;12x;Twelve Times Tables;0;en_num
305;Mixed Mentals 2;R3;;3.54;2.51;N;2180;Mixed Mentals;Mixed Mentals;2;en_num
306;Arithmetic 4;R3;;4.63;3.34;N;2190;Mixed Mentals;Arithmetic;4;en_num
307;Time 2;R3;;4.3;3.01;N;2200;Time;Time;2;en_num
308;Division 3;R3;;3.54;2.51;N;2210;Division;Division;3;en_num
309;Twelve Times Tables;R3;;3.54;2.51;N;2220;12x;Twelve Times Tables;0;en_num
310;Twelve Times Tables - Missing;R3;;4.3;3.01;N;2230;12x;Twelve Times Tables;0;en_num
311;Twelve Times Tables - Turned Around;P8;;3.76;2.73;N;2240;12x;Twelve Times Tables;0;en_num
312;Arithmetic 5;R3;;4.63;3.34;N;2250;Mixed Mentals;Arithmetic;5;en_num
313;Seven Times Tables Introduction;R3;12;4.3;3.01;N;2260;7x;Seven Times Tables;0;en_num
314;Divide by Twelve;R3;;3.54;2.51;N;2270;Division by;Divide by Twelve;0;en_num
315;Number Pattern - Decreasing 4;R3;;6.03;4.01;N;2280;Patterns;Number Pattern;4;en_num
316;Seven Times Tables;R3;;3.54;2.51;N;2290;7x;Seven Times Tables;0;en_num
317;Seven Times Tables - Missing;R3;;3.76;2.73;N;2300;7x;Seven Times Tables ;0;en_num
318;Arithmetic 6;R3;;4.63;3.34;N;2310;Mixed Mentals;Arithmetic;6;en_num
319;Seven Times Tables - Turned Around;P8;;3.54;2.51;N;2320;7x;Seven Times Tables;0;en_num
320;Times Tables 4;R3;;3.54;2.51;N;2330;Times Tables;Times Tables;4;en_num
321;Divide by Seven;R3;;3.54;2.51;N;2340;Division by;Divide by Seven;0;en_num
322;Division 4;R3;;3.54;2.51;N;2350;Division;Division;4;en_num
323;Mixed Mentals 3;R3;;3.54;2.51;N;2360;Mixed Mentals;Mixed Mentals;3;en_num
324;Mixed Mentals 4;R3;;3.54;2.51;N;2370;Mixed Mentals;Mixed Mentals;4;en_num
325;Division 5;R3;;3.76;2.73;N;2380;Division;Division;5;en_num
326;Order of Operations;R3;;3.76;2.73;N;2390;Mixed Mentals;Order of Operations;0;en_num
327;Average;R3;;4.3;3.01;N;2400;Calculations;Average;0;en_num
328;Decimal Ordering;R3;;4.3;3.01;N;2410;Decimals;Decimal Ordering;0;en_num
329;Division 6;R3;;3.76;2.73;N;2420;Division;Division;6;en_num
330;Arithmetic 7;R3;;4.63;3.34;N;2430;Mixed Mentals;Arithmetic;7;en_num
331;Percentage;R3;;4.3;3.01;N;2440;Calculations;Percentage;0;en_num
332;Time Mentals;R3;;4.3;3.01;N;2450;Time;Time Mentals;0;en_num
333;Fractions;R3;;4.3;3.01;N;2460;Fractions;Fractions;0;en_num
334;Division 7;R3;;4.3;3.01;N;2470;Division;Division;7;en_num
335;Powers;R3;;4.3;3.01;N;2480;Powers;Powers;0;en_num
336;Prime Numbers;R3;;4.3;3.01;N;2490;Prime;Prime Numbers;0;en_num
337;Arithmetic 8;R3;;4.3;3.01;N;2500;Mixed Mentals;Arithmetic;8;en_num
338;Decimal Multiplication;R3;;4.3;3.01;N;2510;Decimals;Decimal Multiplication;0;en_num
364;Literacy Test 1;R1;50;;;L;;;;;en_lit
365;Literacy Test 2;R1;50;;;L;;;;;en_lit
366;Literacy Test 3;R1;50;;;L;;;;;en_lit
367;Literacy Test 4;R1;50;;;L;;;;;en_lit
368;Literacy Test 5;R1;50;;;L;;;;;en_lit
369;Literacy Test 6;R1;50;;;L;;;;;en_lit
370;Literacy Test 7;R1;50;;;L;;;;;en_lit
371;Literacy Test 8;R1;50;;;L;;;;;en_lit
372;Numeracy Test 1;R3;50;;;N;;;;;en_num
373;Numeracy Test 2;R3;50;;;N;;;;;en_num
374;Numeracy Test 3;R3;50;;;N;;;;;en_num
375;Numeracy Test 4;R3;50;;;N;;;;;en_num
376;Numeracy Test 5;R3;50;;;N;;;;;en_num
377;Numeracy Test 6;R3;50;;;N;;;;;en_num
378;Numeracy Test 7;R3;50;;;N;;;;;en_num
379;Numeracy Test 8;R3;50;;;N;;;;;en_num
